phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,59,200,200,9.87e-05,0.0592,0.0227,0.278,14.312516450881958,11800,842.0056664943695
1,60,200,200,9.87e-05,0.0569,0.0215,0.268,14.333951711654663,12000,856.3396182060242
1,61,200,200,9.86e-05,0.0588,0.0224,0.276,14.378392934799194,12200,870.7180111408234
1,62,200,200,9.86e-05,0.0584,0.0222,0.274,14.332873821258545,12400,885.0508849620819
1,63,200,200,9.85e-05,0.0588,0.0224,0.272,14.366483926773071,12600,899.417368888855
1,64,200,200,9.85e-05,0.0565,0.0215,0.264,14.38353419303894,12800,913.8009030818939
1,65,200,200,9.84e-05,0.0563,0.0216,0.265,14.382518768310547,13000,928.1834218502045
1,66,200,200,9.84e-05,0.0557,0.0212,0.258,14.329028606414795,13200,942.5124504566193
1,67,200,200,9.83e-05,0.0553,0.0211,0.256,14.352884769439697,13400,956.865335226059
1,68,200,200,9.83e-05,0.0556,0.0214,0.259,14.346334218978882,13600,971.2116694450378
1,69,200,200,9.82e-05,0.0543,0.0209,0.249,14.349549531936646,13800,985.5612189769745
1,70,200,200,9.82e-05,0.0549,0.0209,0.249,14.394674062728882,14000,999.9558930397034
1,71,200,200,9.81e-05,0.0534,0.0206,0.247,14.40112829208374,14200,1014.3570213317871
1,72,200,200,9.81e-05,0.0531,0.0204,0.246,14.384857416152954,14400,1028.74187874794
1,73,200,200,9.8e-05,0.0523,0.0201,0.242,14.405773878097534,14600,1043.1476526260376
1,74,200,200,9.8e-05,0.0534,0.0203,0.244,14.411594152450562,14800,1057.5592467784882
1,75,200,200,9.79e-05,0.0524,0.0203,0.239,14.400359392166138,15000,1071.9596061706543
1,76,200,200,9.79e-05,0.0527,0.0203,0.238,14.37045669555664,15200,1086.330062866211
1,77,200,200,9.78e-05,0.0517,0.0199,0.234,14.361378908157349,15400,1100.6914417743683
1,78,200,200,9.78e-05,0.0517,0.0199,0.235,14.334380626678467,15600,1115.0258224010468
1,79,200,200,9.77e-05,0.0512,0.0198,0.234,14.291041612625122,15800,1129.3168640136719
1,80,200,200,9.76e-05,0.0516,0.0198,0.233,14.192305088043213,16000,1143.509169101715
1,81,200,200,9.76e-05,0.0504,0.0195,0.226,14.268647909164429,16200,1157.7778170108795
1,82,200,200,9.75e-05,0.0498,0.0191,0.226,14.312605142593384,16400,1172.090422153473
1,83,200,200,9.75e-05,0.0503,0.0194,0.224,14.360524892807007,16600,1186.45094704628
1,84,200,200,9.74e-05,0.0509,0.0196,0.228,14.3540678024292,16800,1200.805014848709
1,85,200,200,9.73e-05,0.0501,0.0193,0.225,14.286868810653687,17000,1215.0918836593628
1,86,200,200,9.73e-05,0.05,0.0192,0.22,14.261570692062378,17200,1229.3534543514252
1,87,200,200,9.72e-05,0.0479,0.0183,0.214,14.261093616485596,17400,1243.6145479679108
1,88,200,200,9.71e-05,0.0479,0.0184,0.212,14.320505857467651,17600,1257.9350538253784
1,89,200,200,9.71e-05,0.0496,0.0191,0.22,14.384388446807861,17800,1272.3194422721863
1,90,200,200,9.7e-05,0.0485,0.0186,0.213,14.340786933898926,18000,1286.6602292060852
1,91,200,200,9.69e-05,0.0489,0.0188,0.215,14.30991530418396,18200,1300.9701445102692
1,92,200,200,9.69e-05,0.0494,0.019,0.215,14.279875755310059,18400,1315.2500202655792
1,93,200,200,9.68e-05,0.0477,0.0183,0.21,14.203765869140625,18600,1329.4537861347198
1,94,200,200,9.67e-05,0.0489,0.019,0.216,14.258268356323242,18800,1343.712054491043
1,95,200,200,9.67e-05,0.0477,0.0183,0.209,14.32671332359314,19000,1358.0387678146362
1,96,200,200,9.66e-05,0.0472,0.0181,0.203,14.354376316070557,19200,1372.3931441307068
1,97,200,200,9.65e-05,0.0474,0.0181,0.203,14.353429794311523,19400,1386.7465739250183
