epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
419,7.43e-06,0.0264,0.0107,0.0965,70.24801754951477,False
420,7.27e-06,0.0266,0.0108,0.0968,70.50851702690125,False
421,7.12e-06,0.0264,0.0108,0.0965,70.00637984275818,False
422,6.97e-06,0.0263,0.0107,0.0961,70.0773274898529,False
423,6.83e-06,0.0266,0.0108,0.0972,69.85579705238342,False
424,6.68e-06,0.0265,0.0109,0.0967,70.21248984336853,False
425,6.54e-06,0.0266,0.0109,0.0981,70.58353781700134,False
426,6.4e-06,0.0265,0.0109,0.0974,70.28713798522949,False
427,6.25e-06,0.0262,0.0107,0.0963,70.14360213279724,False
428,6.12e-06,0.0268,0.011,0.0985,70.65119409561157,False
429,5.98e-06,0.0265,0.0108,0.0968,70.48951244354248,False
430,5.84e-06,0.0261,0.0107,0.096,70.1238763332367,False
431,5.71e-06,0.0265,0.0109,0.097,70.19043922424316,False
432,5.58e-06,0.0268,0.011,0.0979,70.63227367401123,False
433,5.45e-06,0.0263,0.0108,0.0967,70.03928089141846,False
434,5.32e-06,0.0268,0.0109,0.0979,70.56675219535828,False
435,5.2e-06,0.026,0.0106,0.0952,69.99784660339355,False
436,5.07e-06,0.0265,0.0108,0.0967,70.56126570701599,False
437,4.95e-06,0.0263,0.0108,0.0967,69.8073832988739,False
438,4.83e-06,0.0261,0.0106,0.0958,70.42584538459778,False
439,4.71e-06,0.0261,0.0106,0.0952,70.33884835243225,False
440,4.59e-06,0.0266,0.0109,0.0968,70.02278161048889,False
441,4.48e-06,0.0263,0.0108,0.0963,70.09535360336304,False
442,4.36e-06,0.0265,0.0109,0.0967,70.14810848236084,False
443,4.25e-06,0.0263,0.0108,0.0963,70.60175132751465,False
444,4.14e-06,0.0267,0.0109,0.0976,70.64636540412903,False
445,4.03e-06,0.0266,0.0109,0.097,70.53989887237549,False
446,3.93e-06,0.0262,0.0107,0.0961,70.51848340034485,False
447,3.82e-06,0.0263,0.0108,0.0959,70.03055262565613,False
448,3.72e-06,0.0261,0.0107,0.0954,69.83974480628967,False
449,3.62e-06,0.0259,0.0106,0.0952,69.81484913825989,False
450,3.52e-06,0.0264,0.0108,0.0968,69.85482430458069,False
451,3.42e-06,0.0261,0.0106,0.0959,70.01281309127808,False
452,3.33e-06,0.0267,0.0109,0.0974,70.04418230056763,False
453,3.23e-06,0.0262,0.0107,0.0951,70.31996202468872,False
454,3.14e-06,0.0267,0.0109,0.0977,70.184809923172,False
455,3.05e-06,0.0264,0.0109,0.0971,70.2422730922699,False
456,2.97e-06,0.0266,0.0109,0.0974,70.60661816596985,False
457,2.88e-06,0.0265,0.0109,0.0972,70.62629628181458,False
458,2.8e-06,0.0266,0.0109,0.0976,70.2256715297699,False
459,2.71e-06,0.0263,0.0108,0.0966,70.03044486045837,False
460,2.63e-06,0.0262,0.0107,0.0962,70.03811812400818,False
461,2.56e-06,0.0268,0.011,0.0975,70.08926367759705,False
462,2.48e-06,0.0261,0.0107,0.0953,70.20137619972229,False
463,2.4e-06,0.0263,0.0107,0.0965,70.3541157245636,False
464,2.33e-06,0.0264,0.0108,0.0965,70.58528137207031,False
465,2.26e-06,0.0267,0.0109,0.0967,70.13171482086182,False
466,2.19e-06,0.0264,0.0108,0.0977,69.95773506164551,False
467,2.13e-06,0.0263,0.0107,0.096,69.99774026870728,False
468,2.06e-06,0.0266,0.0109,0.0974,69.96676921844482,False
469,2e-06,0.0267,0.0109,0.0978,70.50018835067749,False
470,1.94e-06,0.0268,0.011,0.0979,70.22739219665527,False
471,1.88e-06,0.0264,0.0108,0.0967,70.11372900009155,False
472,1.82e-06,0.0262,0.0108,0.0959,70.64171528816223,False
473,1.76e-06,0.0265,0.0109,0.0966,70.57175421714783,False
474,1.71e-06,0.0266,0.0109,0.0968,70.13115406036377,False
475,1.66e-06,0.0261,0.0106,0.0954,70.04602789878845,False
476,1.61e-06,0.0264,0.0109,0.0977,70.1187174320221,False
477,1.56e-06,0.0265,0.0108,0.0968,70.79453945159912,False
478,1.52e-06,0.0265,0.0109,0.0964,70.10946822166443,False
479,1.47e-06,0.0262,0.0107,0.0963,70.69666004180908,False
480,1.43e-06,0.0263,0.0107,0.096,70.28813052177429,False
481,1.39e-06,0.0266,0.0109,0.0972,70.12615895271301,False
482,1.35e-06,0.0262,0.0107,0.0956,70.58839559555054,False
483,1.32e-06,0.0261,0.0107,0.0956,70.34108352661133,False
484,1.28e-06,0.0266,0.0109,0.0976,70.27274990081787,False
485,1.25e-06,0.0265,0.0109,0.0976,70.15227437019348,False
486,1.22e-06,0.0267,0.011,0.0978,70.5997085571289,False
487,1.19e-06,0.0264,0.0108,0.0965,70.33416295051575,False
488,1.17e-06,0.0264,0.0108,0.0965,70.45602869987488,False
489,1.14e-06,0.0264,0.0108,0.0971,70.56718969345093,False
490,1.12e-06,0.0263,0.0108,0.0962,70.69465637207031,False
491,1.1e-06,0.0262,0.0108,0.0962,70.38696503639221,False
492,1.08e-06,0.0256,0.0104,0.0943,70.29703283309937,True
493,1.06e-06,0.026,0.0106,0.0958,70.01990723609924,False
494,1.05e-06,0.0266,0.0109,0.0971,70.267897605896,False
495,1.04e-06,0.0264,0.0108,0.097,70.69523119926453,False
496,1.02e-06,0.0267,0.011,0.0976,70.2448320388794,False
497,1.02e-06,0.0266,0.011,0.0983,69.94677710533142,False
498,1.01e-06,0.026,0.0106,0.0957,70.04881691932678,False
499,1e-06,0.0265,0.0108,0.0966,70.38338804244995,False
500,1e-06,0.0265,0.0108,0.0971,70.57687139511108,False
