epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
97,9.13e-05,0.0306,0.0124,0.116,70.40787935256958,False
98,9.11e-05,0.031,0.0125,0.118,70.07700037956238,False
99,9.09e-05,0.0309,0.0125,0.117,70.03219223022461,False
100,9.07e-05,0.0307,0.0124,0.116,70.28903341293335,False
101,9.05e-05,0.0309,0.0125,0.117,70.38287663459778,False
102,9.04e-05,0.0308,0.0124,0.116,70.47894668579102,False
103,9.02e-05,0.0305,0.0123,0.115,70.39032435417175,False
104,9e-05,0.0308,0.0125,0.116,70.11627554893494,False
105,8.98e-05,0.03,0.0121,0.114,70.0052855014801,True
106,8.96e-05,0.0307,0.0125,0.116,70.2336916923523,False
107,8.94e-05,0.03,0.0122,0.113,70.60622978210449,False
108,8.92e-05,0.0304,0.0123,0.115,70.05852389335632,False
109,8.9e-05,0.03,0.0121,0.114,70.12149810791016,False
110,8.88e-05,0.0307,0.0124,0.116,70.58269333839417,False
111,8.86e-05,0.0302,0.0122,0.114,70.0079026222229,False
112,8.84e-05,0.0298,0.012,0.113,70.50565934181213,True
113,8.82e-05,0.0303,0.0123,0.114,70.17710733413696,False
114,8.8e-05,0.0299,0.0121,0.112,69.84731769561768,False
115,8.78e-05,0.03,0.0121,0.114,70.33973860740662,False
116,8.76e-05,0.0295,0.0119,0.112,70.368971824646,True
117,8.74e-05,0.0299,0.0121,0.113,70.35454249382019,False
118,8.72e-05,0.03,0.0121,0.113,70.40303778648376,False
119,8.7e-05,0.0299,0.012,0.112,70.43993782997131,False
120,8.68e-05,0.0295,0.0119,0.112,70.01837396621704,False
121,8.66e-05,0.0299,0.0121,0.112,70.49550700187683,False
122,8.64e-05,0.0295,0.0119,0.111,70.52290391921997,False
123,8.62e-05,0.0297,0.012,0.111,70.39732503890991,False
124,8.59e-05,0.0299,0.012,0.112,69.90796995162964,False
125,8.57e-05,0.0289,0.0117,0.109,70.29155397415161,True
126,8.55e-05,0.0301,0.0122,0.113,70.46970653533936,False
127,8.53e-05,0.0295,0.012,0.111,70.22955918312073,False
128,8.51e-05,0.0294,0.012,0.111,70.75753974914551,False
129,8.48e-05,0.0296,0.012,0.111,70.17219996452332,False
130,8.46e-05,0.0297,0.012,0.112,70.06526827812195,False
131,8.44e-05,0.0295,0.0119,0.111,70.16822838783264,False
132,8.42e-05,0.0298,0.012,0.112,70.4804859161377,False
133,8.39e-05,0.0295,0.0119,0.111,70.3289384841919,False
134,8.37e-05,0.0292,0.0118,0.109,70.4466643333435,False
135,8.35e-05,0.0298,0.012,0.112,70.52830410003662,False
136,8.32e-05,0.0292,0.0119,0.11,70.65236926078796,False
137,8.3e-05,0.0292,0.0118,0.109,70.16249990463257,False
138,8.28e-05,0.0291,0.0117,0.109,69.94005274772644,False
139,8.25e-05,0.0293,0.0119,0.11,70.1900749206543,False
140,8.23e-05,0.0293,0.0119,0.11,70.32523274421692,False
141,8.21e-05,0.0295,0.012,0.111,70.60309386253357,False
142,8.18e-05,0.0293,0.0119,0.11,70.7645046710968,False
143,8.16e-05,0.0291,0.0117,0.109,70.56074047088623,False
144,8.13e-05,0.0289,0.0117,0.109,70.3002872467041,False
145,8.11e-05,0.0292,0.0118,0.109,70.6755542755127,False
146,8.08e-05,0.0295,0.0119,0.11,70.17442059516907,False
147,8.06e-05,0.0295,0.0119,0.11,70.69158959388733,False
148,8.03e-05,0.0291,0.0118,0.109,70.26242446899414,False
149,8.01e-05,0.029,0.0118,0.108,70.49865412712097,False
150,7.98e-05,0.0292,0.0118,0.109,70.14335489273071,False
151,7.96e-05,0.0291,0.0118,0.109,70.70715928077698,False
152,7.93e-05,0.0291,0.0118,0.11,70.60308814048767,False
153,7.91e-05,0.0286,0.0116,0.107,70.37497806549072,True
154,7.88e-05,0.0289,0.0117,0.107,70.57347798347473,False
155,7.86e-05,0.0293,0.0119,0.11,70.53646039962769,False
156,7.83e-05,0.0293,0.0118,0.109,70.52815628051758,False
157,7.81e-05,0.029,0.0118,0.108,70.4025571346283,False
158,7.78e-05,0.0292,0.0119,0.11,70.10824298858643,False
159,7.75e-05,0.029,0.0118,0.109,70.08181762695312,False
160,7.73e-05,0.0289,0.0117,0.109,69.97250461578369,False
161,7.7e-05,0.0285,0.0116,0.107,70.48754405975342,True
162,7.68e-05,0.0289,0.0117,0.108,70.44456195831299,False
163,7.65e-05,0.0288,0.0116,0.107,70.42954754829407,False
164,7.62e-05,0.0296,0.012,0.11,70.43518233299255,False
165,7.6e-05,0.0292,0.0118,0.109,70.26714539527893,False
166,7.57e-05,0.0288,0.0116,0.108,70.2802484035492,False
167,7.54e-05,0.0288,0.0117,0.108,70.59445905685425,False
168,7.52e-05,0.0284,0.0115,0.106,70.2211103439331,True
169,7.49e-05,0.0289,0.0118,0.108,70.2967541217804,False
170,7.46e-05,0.0289,0.0117,0.108,70.37905788421631,False
171,7.43e-05,0.0288,0.0117,0.107,70.05282306671143,False
172,7.41e-05,0.0288,0.0117,0.108,70.60052275657654,False
173,7.38e-05,0.029,0.0118,0.107,70.38659167289734,False
174,7.35e-05,0.0287,0.0117,0.107,70.38093614578247,False
175,7.32e-05,0.0284,0.0116,0.106,70.29947113990784,False
176,7.3e-05,0.0283,0.0115,0.105,69.9791088104248,True
177,7.27e-05,0.0287,0.0117,0.107,70.10203194618225,False
178,7.24e-05,0.0281,0.0114,0.105,70.36622500419617,True
179,7.21e-05,0.0284,0.0115,0.106,70.45661568641663,False
180,7.19e-05,0.0281,0.0114,0.105,70.36606788635254,False
181,7.16e-05,0.0288,0.0117,0.108,70.2181749343872,False
182,7.13e-05,0.0287,0.0116,0.107,70.31329131126404,False
183,7.1e-05,0.0288,0.0117,0.107,70.45884919166565,False
184,7.07e-05,0.0287,0.0116,0.106,70.49065566062927,False
185,7.04e-05,0.0288,0.0117,0.107,70.67667150497437,False
186,7.02e-05,0.0284,0.0116,0.105,70.40441656112671,False
187,6.99e-05,0.0286,0.0116,0.106,70.3050525188446,False
188,6.96e-05,0.0284,0.0115,0.105,70.49791216850281,False
189,6.93e-05,0.0285,0.0116,0.106,70.36072278022766,False
190,6.9e-05,0.0284,0.0116,0.105,70.45173120498657,False
191,6.87e-05,0.0284,0.0115,0.106,70.35693979263306,False
192,6.84e-05,0.0286,0.0116,0.106,70.48387360572815,False
193,6.81e-05,0.0282,0.0115,0.104,70.37061095237732,False
194,6.79e-05,0.0279,0.0114,0.104,70.7605447769165,True
195,6.76e-05,0.0284,0.0116,0.105,70.30513787269592,False
196,6.73e-05,0.0285,0.0117,0.106,70.24800133705139,False
197,6.7e-05,0.028,0.0114,0.104,70.36926341056824,False
